,Title,Country,Year,Rating,Director
103,The Hunt,Denmark,2012,8.3,Thomas Vinterberg 
104,Toy Story 3,USA,2010,8.3,Lee Unkrich 
105,Snatch,USA,2000,8.3,Guy Ritchie 
106,Scarface,USA,1983,8.2,Brian De Palma 
107,For a Few Dollars More,USA,1965,8.2,Sergio Leone 
108,The Apartment,France,1960,8.2,Billy Wilder 
109,Metropolis,USA,1927,8.2,Fritz Lang 
110,Monty Python and the Holy Grail,UK,1975,8.2,Terry Gilliam 
111,LA Confidential,USA,1997,8.2,Curtis Hanson 
112,A Separation,Iran,2011,8.2,Asghar Farhadi 
113,Indiana Jones and the Last Crusade,USA,1989,8.2,Steven Spielberg 
114,Rashômon,USA,1950,8.2,Akira Kurosawa 
115,Up,USA,2009,8.2,Pete Docter 
116,All About Eve,USA,1950,8.2,Joseph L. Mankiewicz 
117,Batman Begins,USA,2005,8.2,Christopher Nolan 
118,Some Like It Hot,Japan,1959,8.2,Billy Wilder 
119,Yojimbo,USA,1961,8.2,Akira Kurosawa 
120,Downfall,USA,2004,8.2,Oliver Hirschbiegel 
121,Unforgiven,USA,1992,8.2,Clint Eastwood 
122,Die Hard,USA,1988,8.2,John McTiernan 
123,Heat,USA,1995,8.2,Michael Mann 
124,The Treasure of the Sierra Madre,USA,1948,8.2,John Huston 
125,Incendies,France,2010,8.2,Denis Villeneuve 
126,Green Book,USA,2018,8.2,Peter Farrelly 
127,Ikiru,USA,1952,8.2,Akira Kurosawa 
128,Raging Bull,USA,1980,8.2,Martin Scorsese 
129,The Great Escape,USA,1963,8.2,John Sturges 
130,Children of Heaven,USA,1997,8.2,Majid Majidi 
131,Pan's Labyrinth,USA,2006,8.2,Guillermo del Toro 
132,Chinatown,USA,1974,8.2,Roman Polanski 
133,My Neighbor Totoro,USA,1988,8.2,Hayao Miyazaki 
134,Babam ve Oglum,Turkey,2005,8.2,Çagan Irmak 
135,The Third Man,France,1949,8.2,Carol Reed 
136,Howl's Moving Castle,USA,2004,8.2,Hayao Miyazaki 
137,Ran,Japan,1985,8.2,Akira Kurosawa 
138,Judgment at Nuremberg,Sweden,1961,8.2,Stanley Kramer 
139,The Secret in Their Eyes,USA,2009,8.2,Juan José Campanella 
140,The Gold Rush,Germany,1925,8.2,Charles Chaplin 
141,The Bridge on the River Kwai,USA,1957,8.2,David Lean 
142,A Beautiful Mind,USA,2001,8.2,Ron Howard 
143,"Lock, Stock and Two Smoking Barrels",UK,1998,8.2,Guy Ritchie 
144,Casino,USA,1995,8.2,Martin Scorsese 
145,The Seventh Seal,USA,1957,8.1,Ingmar Bergman 
146,On the Waterfront,Japan,1954,8.1,Elia Kazan 
147,"Three Billboards Outside Ebbing, Missouri",USA,2017,8.1,Martin McDonagh 
148,The Wolf of Wall Street,USA,2013,8.1,Martin Scorsese 
149,The Elephant Man,USA,1980,8.1,David Lynch 
150,Inside Out,USA,2015,8.1,Pete Docter 
151,V for Vendetta,USA,2005,8.1,James McTeigue 
152,Mr Smith Goes to Washington,USA,1939,8.1,Frank Capra 
153,Room,USA,2015,8.1,Lenny Abrahamson 
154,Warrior,USA,2011,8.1,Gavin O'Connor 
155,Blade Runner,USA,1982,8.1,Ridley Scott 
156,Dial M for Murder,USA,1954,8.1,Alfred Hitchcock 
157,No Country for Old Men,USA,2007,8.1,Ethan Coen 
158,There Will Be Blood,USA,2007,8.1,Paul Thomas Anderson 
159,Andhadhun,USA,2018,8.1,Sriram Raghavan 
160,Wild Strawberries,USA,1957,8.1,Ingmar Bergman 
161,The General,France,1926,8.1,Clyde Bruckman 
162,The Sixth Sense,USA,1999,8.1,M. Night Shyamalan 
163,Trainspotting,USA,1996,8.1,Danny Boyle 
164,Gone with the Wind,USA,1939,8.1,Victor Fleming 
165,The Thing,USA,1982,8.1,John Carpenter 
166,Fargo,USA,1996,8.1,Joel Coen 
167,Come and See,Hungary,1985,8.1,Elem Klimov 
168,Gran Torino,USA,2008,8.1,Clint Eastwood 
169,Finding Nemo,USA,2003,8.1,Andrew Stanton 
170,The Deer Hunter,USA,1978,8.1,Michael Cimino 
171,Shutter Island,USA,2010,8.1,Martin Scorsese 
172,The Big Lebowski,USA,1998,8.1,Joel Coen 
173,Kill Bill: Vol 1,USA,2003,8.1,Quentin Tarantino 
174,Sherlock Jr,USA,1924,8.1,Buster Keaton 
175,Cool Hand Luke,USA,1967,8.1,Stuart Rosenberg 
176,Tokyo Story,USA,1953,8.1,Yasujirô Ozu 
177,Mary and Max,Australia,2009,8.1,Adam Elliot 
178,Rebecca,USA,1940,8.1,Alfred Hitchcock 
179,Hacksaw Ridge,USA,2016,8.1,Mel Gibson 
180,How to Train Your Dragon,USA,2010,8.1,Dean DeBlois 
181,Jurassic Park,USA,1993,8.1,Steven Spielberg 
182,Gone Girl,USA,2014,8.1,David Fincher 
183,Relatos salvajes,Argentina,2014,8.1,Damián Szifron 
